ProjectName,Street,City,State,Zipcode,full_address,CertLevel,CertDate,LEEDSystemVersionDisplayName,GrossFloorArea,ProjectTypes,OwnerOrganization
TD Bank - New York NY- 576 Second Avenue,576 Second Avenue,New York,NY,10016-6307,"576 Second Avenue, New York, NY 10016-6307",Silver,2014-05-14 00:00:00,LEED-CI Retail v2009,6100.0,Retail: Bank Branch,TD Bank
200 Madison Avenue,200 Madison Avenue,New York,NY,10016,"200 Madison Avenue, New York, NY 10016",Silver,2013-02-25 00:00:00,LEED-EB:OM v2009,659245.0,Office: Mixed-Use,"George Comfort & Sons, Inc."
498 7th Avenue,498 7th Avenue,New York,NY,10018,"498 7th Avenue, New York, NY 10018",Gold,2013-03-05 00:00:00,LEED-EB:OM v2009,936037.0, ,"George Comfort & Sons, Inc."
10 East 53rd,10 East 53rd Street,New York,NY,10022,"10 East 53rd Street, New York, NY 10022",,,LEED-EB:OM v2009,350110.0,Office: Mixed-Use,Sl Green
609 5th,609 5th Avenue,New York,NY,10017,"609 5th Avenue, New York, NY 10017",,,LEED-EB:OM v2009,163139.0,Office: Mixed-Use,SL Green
100 Church,100 Church Street,New York,NY,10007,"100 Church Street, New York, NY 10007",,,LEED-EB:OM v2009,2058439.0,Office: Mixed-Use,SL Green
180 Maiden Lane,180 Maiden Lane,New York,NY,10038,"180 Maiden Lane, New York, NY 10038",,,LEED-EB:OM v2009,1100000.0,Office: Mixed-Use,SL Green
333 East 38th,333 East 38th Street,New York,NY,10016,"333 East 38th Street, New York, NY 10016",,,LEED-EB:OM v2009,425093.0,Office: Mixed-Use,SL Green
City Point Tower 2,336 Flatbush Avenue Extension,New York,NY,11201,"336 Flatbush Avenue Extension, New York, NY 11201",Silver,2016-11-02 00:00:00,LEED-NC v2009,370762.0, ,The Brodsky Organization
101 Avenue of the Americas,101 Avenue Of The Americas,New York,NY,10013,"101 Avenue Of The Americas, New York, NY 10013",Silver,2013-07-17 00:00:00,LEED-CS v2009,362505.0,Office: Administrative/Professional,101 A Of A Ground Lesee LLC
Hampton Inn 220 West 41st Street,220 West 41st Street,New York,NY,10036,"220 West 41st Street, New York, NY 10036",Silver,2016-10-10 00:00:00,LEED-NC v2009,129821.0,"Lodging: Hotel/Motel/Resort, Full Service",OTO Development
Pernod Ricard - 250 Park Avenue,250 Park Avenue,New York,NY,10016,"250 Park Avenue, New York, NY 10016",Gold,2014-05-01 00:00:00,LEED-CI v2009,43493.0,Office: Administrative/Professional,Pernod Ricard
Y and R Wunderman,3 Columbus Circle,New York,NY,10019,"3 Columbus Circle, New York, NY 10019",Gold,2015-01-27 00:00:00,LEED-CI v2009,247907.0,Office: Administrative/Professional,Y And R Wunderman
650 Madison Avenue,650 Madison Avenue,New York,NY,10022,"650 Madison Avenue, New York, NY 10022",Certified,2013-08-05 00:00:00,LEED-EB:OM v2009,592247.0,Office: Mixed-Use,"CRP/AAC 650 Madison Owner, LLC"
